geoid,nation_name,smr_no,smr_tot,wtr_no,wtr_tot,tot_tot,stidx_98,altidx_98,gdp_1998,stidx_00,altidx_00,gdp_2000,stidx_02,altidx_02,gdp_2002,stidx_04,altidx_04,gdp_2004,stidx_06,altidx_06,gdp_2006,stidx_08,altidx_08,gdp_2008,stidx_10,altidx_10,gdp_2010,stidx_12,altidx_12,gdp_2012,stidx_14,altidx_14,gdp_2014,stidx_16,altidx_16,gdp_2016
HKG,Hong Kong,16,3,5,0,3,NA,NA,25809,NA,NA,25757,NA,NA,24666,0.040115533,0.080231065,24928,NA,NA,28224,NA,NA,31516,NA,NA,32550,0.02722496,0.02722496,36731,NA,NA,40315,NA,NA,43741
PAN,Panama,17,3,0,0,3,NA,NA,3975,NA,NA,4060,NA,NA,4126,NA,NA,4592,NA,NA,5349,0.143389733,0.4301692,6974,NA,NA,7937,NA,NA,10590,NA,NA,12594,NA,NA,13680
CIV,Ivory Coast,13,3,0,0,3,NA,NA,794,NA,NA,642,NA,NA,711,NA,NA,920,NA,NA,952,NA,NA,1242,NA,NA,1220,NA,NA,1262,NA,NA,1570,1.302931596,2.605863192,1535
SYR,Syria,13,3,0,0,3,NA,NA,974,NA,NA,1178,NA,NA,1263,0.709723208,0.709723208,1409,NA,NA,1762,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SAU,Saudi Arabia,11,3,0,0,3,NA,NA,7382,0.219130054,0.328695081,9127,NA,NA,8655,NA,NA,11139,NA,NA,15335,NA,NA,20038,NA,NA,19260,0.039521005,0.039521005,25303,NA,NA,24575,NA,NA,20029
BHR,Bahrain,9,3,0,0,3,NA,NA,10076,NA,NA,13636,NA,NA,13102,NA,NA,15846,NA,NA,19308,NA,NA,23068,NA,NA,20722,0.042285086,0.126855258,23649,NA,NA,24983,0.088577882,0.221444705,22579
LKA,Sri Lanka,17,2,0,0,2,NA,NA,851,1.150747986,2.301495972,869,NA,NA,868,NA,NA,1067,NA,NA,1438,NA,NA,2041,NA,NA,2808,NA,NA,3351,NA,NA,3848,NA,NA,3910
ECU,Ecuador,14,2,1,0,2,NA,NA,2300,NA,NA,1451,NA,NA,2184,NA,NA,2709,NA,NA,3351,0.233918129,0.467836257,4275,NA,NA,4657,NA,NA,5702,NA,NA,6397,NA,NA,6019
HTI,Haiti,15,2,0,0,2,NA,NA,451,NA,NA,462,NA,NA,393,NA,NA,388,NA,NA,505,NA,NA,675,NA,NA,662,NA,NA,767,NA,NA,830,NA,NA,740
AFG,Afghanistan,14,2,0,0,2,NA,NA,0,NA,NA,0,NA,NA,188,NA,NA,219,NA,NA,273,2.680965147,2.680965147,373,NA,NA,553,1.494768311,1.494768311,669,NA,NA,629,NA,NA,562
TZA,Tanzania,13,2,0,0,2,NA,NA,296,NA,NA,307,NA,NA,308,NA,NA,345,NA,NA,472,NA,NA,651,NA,NA,702,NA,NA,820,NA,NA,950,NA,NA,878
ZMB,Zambia,13,2,0,0,2,NA,NA,356,NA,NA,342,NA,NA,377,NA,NA,530,NA,NA,1030,NA,NA,1369,NA,NA,1463,NA,NA,1735,NA,NA,1738,NA,NA,1270
KWT,Kuwait,12,2,0,0,2,NA,NA,14127,0.054380336,0.054380336,18389,NA,NA,17789,NA,NA,26921,NA,NA,42718,NA,NA,55572,NA,NA,38498,0.019506866,0.019506866,51264,NA,NA,42996,NA,NA,27359
SUR,Suriname,12,2,0,0,2,NA,NA,2047,NA,NA,1889,NA,NA,2233,NA,NA,3006,NA,NA,5208,NA,NA,6858,NA,NA,8303,NA,NA,9272,NA,NA,9564,NA,NA,5871
MOZ,Mozambique,10,2,0,0,2,NA,NA,284,3.597122302,10.79136691,278,NA,NA,263,NA,NA,336,NA,NA,386,NA,NA,503,NA,NA,419,NA,NA,566,NA,NA,623,NA,NA,382
GRD,Grenada,9,2,0,0,2,NA,NA,4401,NA,NA,5118,NA,NA,5292,NA,NA,5836,NA,NA,6766,NA,NA,7947,NA,NA,7366,0.131873929,0.395621786,7583,NA,NA,8570,0.101605365,0.20321073,9842
ARE,United Arab Emirates,9,2,0,0,2,NA,NA,26663,NA,NA,33071,NA,NA,31311,0.027654102,0.082962307,36161,NA,NA,42372,NA,NA,45759,NA,NA,35049,NA,NA,42112,NA,NA,44450,0.026580192,0.026580192,37622
BDI,Burundi,6,2,0,0,2,NA,NA,144,NA,NA,136,NA,NA,122,NA,NA,127,NA,NA,166,NA,NA,196,NA,NA,231,NA,NA,265,NA,NA,313,3.496503497,6.993006993,286
BMU,Bermuda,18,1,8,0,1,NA,NA,51372,NA,NA,56284,NA,NA,62583,NA,NA,70359,NA,NA,83913,NA,NA,93606,NA,NA,88207,NA,NA,85458,NA,NA,0,NA,NA,0
CYP,Cyprus,10,1,11,0,1,NA,NA,15247,NA,NA,14673,NA,NA,16372,NA,NA,23932,NA,NA,27170,NA,NA,35391,NA,NA,30818,0.034500604,0.069001208,28985,NA,NA,27401,NA,NA,23541
SEN,Senegal,14,1,5,0,1,NA,NA,534,NA,NA,473,NA,NA,513,NA,NA,733,NA,NA,810,NA,NA,1101,NA,NA,1003,NA,NA,1038,NA,NA,1052,NA,NA,953
VIR,Virgin Islands,12,1,7,0,1,NA,NA,0,NA,NA,0,NA,NA,30126,NA,NA,35024,NA,NA,41561,NA,NA,39207,NA,NA,40043,NA,NA,37850,NA,NA,33592,NA,NA,0
FJI,Fiji,14,1,3,0,1,NA,NA,2070,NA,NA,2076,NA,NA,2259,NA,NA,3333,NA,NA,3750,NA,NA,4178,NA,NA,3652,NA,NA,4547,NA,NA,5046,0.191094974,0.573284923,5233
GUY,Guyana,17,1,0,0,1,NA,NA,947,NA,NA,946,NA,NA,961,NA,NA,1046,NA,NA,1946,NA,NA,2576,NA,NA,3045,NA,NA,3800,NA,NA,4032,NA,NA,4529
GTM,Guatemala,14,1,1,0,1,NA,NA,1742,NA,NA,1656,NA,NA,1702,NA,NA,1873,NA,NA,2257,NA,NA,2794,NA,NA,2826,0.303030303,0.606060606,3300,NA,NA,3688,NA,NA,4147
IRQ,Iraq,14,1,0,0,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1392,NA,NA,2352,NA,NA,4521,NA,NA,4503,NA,NA,6651,NA,NA,6703,NA,NA,4610
PRY,Paraguay,12,1,1,0,1,NA,NA,1773,NA,NA,1546,NA,NA,1148,0.709723208,1.419446416,1409,NA,NA,1810,NA,NA,3060,NA,NA,3226,NA,NA,3856,NA,NA,4713,NA,NA,4078
BRB,Barbados,12,1,0,0,1,NA,NA,10728,0.086445367,0.086445367,11568,NA,NA,11675,NA,NA,12869,NA,NA,15440,NA,NA,16614,NA,NA,15959,NA,NA,16536,NA,NA,16262,NA,NA,15892
MKD,Macedonia,6,1,6,0,1,NA,NA,1775,0.539374326,0.539374326,1854,NA,NA,1961,NA,NA,2763,NA,NA,3326,NA,NA,4793,NA,NA,4543,NA,NA,4699,NA,NA,5469,NA,NA,5237
SDN,Sudan,12,1,0,0,1,NA,NA,350,NA,NA,361,NA,NA,412,NA,NA,565,NA,NA,894,0.773993808,1.547987616,1292,NA,NA,1476,NA,NA,1893,NA,NA,2177,NA,NA,2415
TGO,Togo,10,1,2,0,1,NA,NA,339,NA,NA,260,NA,NA,281,NA,NA,350,NA,NA,377,1.949317739,1.949317739,513,NA,NA,488,NA,NA,564,NA,NA,620,NA,NA,578
TON,Tonga,9,1,2,0,1,NA,NA,1943,NA,NA,2063,NA,NA,1842,NA,NA,2284,NA,NA,2893,NA,NA,3393,NA,NA,3548,NA,NA,4501,NA,NA,4196,NA,NA,3749
BWA,Botswana,10,1,0,0,1,NA,NA,2869,NA,NA,3349,NA,NA,3056,NA,NA,4897,NA,NA,5375,NA,NA,5623,NA,NA,6346,0.142267748,0.284535496,7029,NA,NA,7498,NA,NA,6924
GAB,Gabon,10,1,0,0,1,NA,NA,3828,NA,NA,4116,NA,NA,4103,NA,NA,5686,NA,NA,7142,NA,NA,10094,NA,NA,8754,0.102312257,0.204624514,9774,NA,NA,9692,NA,NA,7179
JOR,Jordan,10,1,0,0,1,NA,NA,1606,NA,NA,1658,NA,NA,1812,NA,NA,2061,NA,NA,2537,NA,NA,3386,NA,NA,3679,NA,NA,3871,NA,NA,4067,0.244618395,0.733855186,4088
MUS,Mauritius,9,1,0,0,1,NA,NA,3593,NA,NA,3861,NA,NA,3958,NA,NA,5230,NA,NA,5696,0.124533001,0.124533001,8030,NA,NA,8000,NA,NA,9291,NA,NA,10154,NA,NA,9631
WSM,Samoa,9,1,0,0,1,NA,NA,1558,NA,NA,1541,NA,NA,1631,NA,NA,2351,NA,NA,2808,NA,NA,3510,NA,NA,3453,NA,NA,4235,NA,NA,4179,NA,NA,4030
DJI,Djibouti,8,1,0,0,1,NA,NA,756,NA,NA,768,NA,NA,792,NA,NA,864,NA,NA,966,NA,NA,1214,NA,NA,1326,NA,NA,1536,NA,NA,1741,NA,NA,0
ERI,Eritrea,5,1,1,0,1,NA,NA,231,NA,NA,208,NA,NA,202,3.484320557,3.484320557,287,NA,NA,298,NA,NA,326,NA,NA,482,NA,NA,0,NA,NA,0,NA,NA,0
MNE,Montenegro,3,1,3,0,1,NA,NA,0,NA,NA,1627,NA,NA,2106,NA,NA,3380,NA,NA,4384,NA,NA,7368,NA,NA,6682,0.151814179,0.303628359,6587,NA,NA,7378,NA,NA,7029
KOS,Kosovo,1,1,1,0,1,NA,NA,0,NA,NA,1088,NA,NA,1588,NA,NA,2135,NA,NA,2372,NA,NA,3255,NA,NA,3283,NA,NA,3586,NA,NA,4055,0.273149413,0.819448238,3661
