geoid,nation_name,smr_no,smr_tot,wtr_no,wtr_tot,tot_tot,stidx_98,altidx_98,gdp_1998,stidx_00,altidx_00,gdp_2000,stidx_02,altidx_02,gdp_2002,stidx_04,altidx_04,gdp_2004,stidx_06,altidx_06,gdp_2006,stidx_08,altidx_08,gdp_2008,stidx_10,altidx_10,gdp_2010,stidx_12,altidx_12,gdp_2012,stidx_14,altidx_14,gdp_2014,stidx_16,altidx_16,gdp_2016
AUT,Austria,27,87,23,232,319,0.621299613,1.023317009,27362,0.122129946,0.325679857,24564,0.643890614,1.022649799,26402,0.135788387,0.32589213,36822,0.56601452,1.181247693,40635,0.05801698,0.077355973,51709,0.341457168,0.640232191,46858,NA,NA,48568,0.328610365,0.637890708,51733,0.022342375,0.022342375,44758
ROU,Romania,21,306,21,1,307,NA,NA,1865,15.58752998,32.37410072,1668,NA,NA,2125,5.347593583,11.25809175,3553,NA,NA,5829,0.789265983,1.677190213,10136,NA,NA,8297,1.051647581,2.103295162,8558,NA,NA,10020,0.420035703,0.73506248,9523
POL,Poland,21,284,23,22,306,NA,NA,4510,3.115958157,6.899621634,4493,0.384837406,0.577256109,5197,1.496781919,2.694207454,6681,0.221214467,0.331821701,9041,0.714234698,1.571316335,14001,0.476266074,0.873154469,12598,0.836883749,1.369446135,13144,0.418410042,1.046025105,14340,0.886096343,1.449975834,12414
CUB,Cuba,20,225,0,0,225,NA,NA,2326,10.58008026,22.61948194,2741,NA,NA,2994,7.667354763,15.03981127,3391,NA,NA,4669,4.27827381,6.882440476,5376,NA,NA,5676,2.33426704,4.357298475,6426,NA,NA,7051,NA,NA,0
BGR,Bulgaria,20,218,20,6,224,0.564334086,1.693002257,1772,8.079552517,18.02361715,1609,1.436781609,1.915708812,2088,3.548196334,5.026611473,3382,0.221582096,0.443164192,4513,0.413109336,0.826218673,7262,NA,NA,6843,0.406614259,0.677690431,7378,NA,NA,7853,0.401660195,0.535546927,7469
DNK,Denmark,27,194,14,1,195,0.029968832,0.059937665,33368,0.195160031,0.422846734,30744,NA,NA,33229,0.150498796,0.236498108,46512,NA,NA,52027,0.108827462,0.202108143,64322,NA,NA,58041,0.153825118,0.290558556,58508,NA,NA,62549,0.279960432,0.46660072,53579
BEL,Belgium,26,148,21,6,154,0.039151202,0.039151202,25542,0.215452234,0.301633128,23207,NA,NA,25052,0.056195561,0.056195561,35590,NA,NA,38852,0.041300981,0.103252452,48425,NA,NA,44380,0.067052592,0.089403455,44741,NA,NA,47379,0.145380534,0.290761067,41271
ESP,Spain,23,150,20,4,154,NA,NA,15340,0.749471963,1.362676296,14677,NA,NA,17020,0.722340383,1.404550744,24919,NA,NA,28483,0.505916411,1.068045757,35579,NA,NA,30737,0.630163843,1.260327685,28564,NA,NA,29623,0.638713556,1.314998497,26616
UKR,Ukraine,6,121,7,8,129,1.19760479,2.395209581,835,36.16352201,61.32075472,636,NA,NA,879,16.0936357,31.4557425,1367,0.868432479,0.868432479,2303,6.682086867,11.30814701,3891,NA,NA,2965,5.188067445,9.338521401,3855,0.644122383,1.288244767,3105,5.032021958,9.149130833,2186
BRA,Brazil,22,128,8,0,128,NA,NA,5076,3.209414282,4.814121423,3739,NA,NA,2820,2.484129175,5.244272702,3623,NA,NA,5860,1.593081475,2.61720528,8788,NA,NA,11224,1.383125864,2.278089659,12291,NA,NA,12027,2.196531792,4.50867052,8650
NZL,New Zealand,23,117,16,3,120,NA,NA,14738,0.219925225,0.366542042,13641,NA,NA,16874,0.157356412,0.393391031,25420,NA,NA,26671,0.287650217,0.543339299,31288,NA,NA,33691,0.325243933,0.67550663,39970,NA,NA,44503,0.456713691,0.8880544,39412
GRC,Greece,28,116,19,0,116,NA,NA,13472,1.07946525,2.241966287,12043,NA,NA,14110,0.72876338,1.548622182,21955,NA,NA,24801,0.12501172,0.18751758,31997,NA,NA,26918,0.089915929,0.089915929,22243,NA,NA,21761,0.33536415,0.726622324,17891
KEN,Kenya,14,102,4,0,102,NA,NA,473,17.32673267,34.65346535,404,NA,NA,396,15.25054466,28.32244009,459,NA,NA,697,15.26717557,32.71537623,917,NA,NA,967,10.38961039,17.31601732,1155,NA,NA,1335,8.934707904,21.30584192,1455
BLR,Belarus,6,78,7,18,96,1.322751323,1.322751323,1512,13.32288401,20.37617555,1276,0.676132522,0.676132522,1479,6.307821699,10.51303616,2378,0.25987526,0.51975052,3848,2.979457425,5.018033558,6377,0.497594958,0.995189915,6029,1.44092219,2.737752161,6940,0.721240534,1.92330809,8319,1.803968731,3.006614552,4989
TUR,Turkey,22,91,17,0,91,NA,NA,4497,1.158211721,2.548065786,4317,NA,NA,3660,1.655355074,3.14517464,6041,NA,NA,8035,0.737259239,1.290203668,10851,NA,NA,10672,0.255972696,0.511945392,11720,NA,NA,12127,0.736444813,1.196722821,10863
CZE,Czech Republic,6,56,7,31,87,0.464468184,0.928936368,6459,1.330671989,2.49500998,6012,0.37345948,0.871405453,8033,0.599007359,0.941297279,11686,0.263435195,0.52687039,15184,0.264328825,0.660822063,22699,0.302907916,0.504846527,19808,0.557526609,1.115053218,19730,0.405165865,0.81033173,19745,0.54100844,0.757411816,18484
ZAF,South Africa,19,86,7,0,86,NA,NA,3105,1.676727029,2.34741784,2982,NA,NA,2461,1.264488936,2.318229715,4745,NA,NA,5506,0.175592625,0.35118525,5695,NA,NA,7275,0.80235357,2.005883926,7478,NA,NA,6438,1.895734597,3.791469194,5275
JAM,Jamaica,17,77,8,0,77,NA,NA,3339,2.677774472,4.165426956,3361,NA,NA,3596,1.344086022,2.688172043,3720,NA,NA,4313,2.039567612,4.894962268,4903,NA,NA,4683,2.303262956,4.798464491,5210,NA,NA,4856,2.254560361,5.328960853,4879
ARG,Argentina,24,74,19,0,74,NA,NA,8249,0.521580389,0.782370583,7669,NA,NA,2579,1.411100659,2.351834431,4252,NA,NA,5879,0.670166425,1.116944041,8953,NA,NA,10276,0.308404009,0.539707016,12970,NA,NA,12245,0.321543408,0.884244373,12440
KAZ,Kazakhstan,6,62,7,8,70,1.361470388,1.361470388,1469,5.695687551,13.83238405,1229,NA,NA,1658,2.783576896,4.871259569,2874,NA,NA,5292,1.526896876,2.466525722,8514,0.110241429,0.220482857,9071,0.807297974,1.372406555,12387,0.078082299,0.078082299,12807,2.333117304,3.758911212,7715
MEX,Mexico,23,69,9,0,69,NA,NA,5080,0.892724297,1.487873828,6721,NA,NA,7106,0.555632727,0.972357272,7199,NA,NA,8768,0.309629477,0.722468779,9689,NA,NA,8960,0.814581,1.323694125,9821,NA,NA,10453,0.609087587,0.974540139,8209
IRN,Iran,16,69,11,0,69,NA,NA,1726,2.414001207,6.035003018,1657,NA,NA,1892,2.197802198,4.395604396,2730,NA,NA,3739,0.179404377,0.538213132,5574,NA,NA,6532,1.659645091,3.702285204,7833,NA,NA,5541,1.532860701,2.874113815,5219
ETH,Ethiopia,13,53,2,0,53,NA,NA,125,64.51612903,137.0967742,124,NA,NA,111,51.47058824,102.9411765,136,NA,NA,194,21.53846154,49.23076923,325,NA,NA,341,14.92537313,31.98294243,469,NA,NA,571,11.31541726,16.97312588,707
HRV,Croatia,7,33,8,11,44,NA,NA,5650,0.406504065,0.81300813,4920,0.660720185,1.816980509,6054,0.42707666,0.854153321,9366,0.264014785,0.616034498,11363,0.31458412,0.440417768,15894,0.222123501,0.370205834,13506,0.453309157,0.98216984,13236,0.074255588,0.148511175,13467,0.823113013,1.893159931,12149
AZE,Azerbaijan,6,43,6,0,43,NA,NA,562,4.580152672,10.6870229,655,NA,NA,763,4.784688995,6.698564593,1045,NA,NA,2473,1.255605381,1.97309417,5575,NA,NA,5843,1.334044824,2.134471718,7496,NA,NA,7891,4.64037123,6.960556845,3879
EST,Estonia,12,34,10,7,41,NA,NA,4052,0.737100737,1.228501229,4070,0.565184627,1.130369254,5308,0.338983051,0.451977401,8850,0.238189758,0.714569274,12595,0.11052777,0.276319425,18095,0.068310677,0.136621354,14639,0.114797383,0.172196074,17422,NA,NA,19950,0.05637932,0.05637932,17737
SVN,Slovenia,7,23,8,17,40,NA,NA,11165,0.19554165,0.586624951,10228,0.084645336,0.084645336,11814,0.173802213,0.231736284,17261,NA,NA,19726,0.145443968,0.254526943,27502,0.128002731,0.213337885,23437,0.177525297,0.31066927,22532,0.330551194,0.57846459,24202,0.184757506,0.369515012,21650
SVK,Slovakia,6,28,7,8,36,NA,NA,5534,0.925411808,1.850823617,5403,NA,NA,6525,0.563115908,1.126231816,10655,0.076109293,0.152218586,13139,0.321715818,0.750670241,18650,0.180712005,0.361424011,16601,0.23154848,0.289435601,17275,0.053676865,0.161030596,18630,0.241984271,0.604960678,16530
THA,Thailand,16,33,4,0,33,NA,NA,1845,1.494023904,2.490039841,2008,NA,NA,2096,3.007518797,5.639097744,2660,NA,NA,3369,0.913450559,2.283626399,4379,NA,NA,5075,0.682593857,1.023890785,5860,NA,NA,5942,1.015056674,2.030113348,5911
GEO,Georgia,6,33,7,0,33,NA,NA,805,8.670520231,8.670520231,692,NA,NA,779,3.314001657,8.285004143,1207,NA,NA,1873,1.88976378,3.779527559,3175,NA,NA,2964,1.68959691,2.896451846,4143,NA,NA,4430,1.81065701,3.103983445,3866
EGY,Egypt,22,32,1,0,32,NA,NA,1259,NA,NA,1428,NA,NA,1210,4.780114723,7.648183556,1046,NA,NA,1375,0.497265042,0.497265042,2011,NA,NA,2602,1.257466206,2.20056586,3181,NA,NA,3328,0.862564692,0.862564692,3478
IDN,Indonesia,15,32,0,0,32,NA,NA,494,7.220216606,13.23706378,831,NA,NA,958,3.270645953,5.723630417,1223,NA,NA,1689,2.173913043,3.47826087,2300,NA,NA,3113,0.813449024,1.355748373,3688,NA,NA,3492,0.840336134,1.960784314,3570
UZB,Uzbekistan,6,31,7,1,32,NA,NA,623,7.168458781,12.54480287,558,NA,NA,383,10.75268817,21.50537634,465,NA,NA,654,5.545286506,9.242144177,1082,NA,NA,1377,1.724137931,2.873563218,1740,NA,NA,2050,6.158218854,10.89531028,2111
IRL,Ireland,21,31,7,0,31,NA,NA,24263,0.038106852,0.076213703,26242,NA,NA,32540,NA,NA,47631,NA,NA,54307,0.048973195,0.065297594,61258,NA,NA,48672,0.122008256,0.183012384,49177,NA,NA,55899,0.031164784,0.062329568,64175
IND,India,24,28,10,0,28,NA,NA,409,2.277904328,2.277904328,439,NA,NA,466,1.610305958,3.220611916,621,NA,NA,792,3.027245207,5.045408678,991,NA,NA,1346,4.146510021,5.528680028,1447,NA,NA,1573,1.169590643,1.754385965,1710
COL,Colombia,19,28,2,0,28,NA,NA,2509,0.404530744,1.213592233,2472,NA,NA,2356,0.729927007,0.729927007,2740,NA,NA,3709,0.368053,0.552079499,5434,NA,NA,6251,1.014584654,1.648700063,7885,NA,NA,7913,1.377884947,2.755769893,5806
LVA,Latvia,11,19,11,8,27,NA,NA,2977,0.894721145,1.78944229,3353,NA,NA,4132,0.629822075,1.259644151,6351,0.103434009,0.103434009,9668,0.122331641,0.305829103,16349,0.176584849,0.353169698,11326,0.144686392,0.289372784,13823,0.253823212,0.380734818,15759,NA,NA,14071
MNG,Mongolia,13,26,14,0,26,NA,NA,477,NA,NA,474,NA,NA,572,1.253132832,1.253132832,798,NA,NA,1335,1.869158879,4.672897196,2140,NA,NA,2650,1.144688645,1.602564103,4368,NA,NA,4182,0.541418517,0.812127775,3694
LTU,Lithuania,9,25,9,0,25,NA,NA,3167,1.516530179,2.729754322,3297,NA,NA,4147,0.447293872,1.043685702,6707,NA,NA,9241,0.267343938,0.334179922,14962,NA,NA,11985,0.348650722,0.697301443,14341,NA,NA,16555,0.26843836,0.33554795,14901
NGA,Nigeria,16,25,1,0,25,NA,NA,275,7.915567282,15.83113456,379,NA,NA,459,3.081664099,3.081664099,649,NA,NA,1020,2.89017341,3.612716763,1384,NA,NA,2327,NA,NA,2755,NA,NA,3222,0.459558824,0.459558824,2176
PRT,Portugal,24,24,8,0,24,NA,NA,12203,0.173882803,0.173882803,11502,NA,NA,12882,0.166241826,0.277069711,18046,NA,NA,19821,0.080593166,0.201482914,24816,NA,NA,22539,0.048597949,0.097195898,20577,NA,NA,22078,0.050408307,0.050408307,19838
MAR,Morocco,14,23,7,0,23,NA,NA,1469,3.753753754,4.504504505,1332,NA,NA,1414,1.539250898,4.104669061,1949,NA,NA,2191,0.693240901,1.039861352,2885,NA,NA,2834,0.344234079,0.344234079,2905,NA,NA,3160,0.345661943,0.345661943,2893
TTO,Trinidad and Tobago,17,19,3,0,19,NA,NA,4787,0.310993625,0.466490437,6431,NA,NA,7050,0.097172286,0.097172286,10291,NA,NA,14096,0.094393053,0.188786105,21188,NA,NA,16684,0.208855472,0.365497076,19152,NA,NA,19325,0.062340253,0.062340253,16041
DZA,Algeria,13,17,3,0,17,NA,NA,1588,2.845759818,4.553215709,1757,NA,NA,1774,NA,NA,2599,NA,NA,3465,0.407747197,0.611620795,4905,NA,NA,4463,0.179694519,0.539083558,5565,NA,NA,5466,0.510594843,1.021189686,3917
VEN,Venezuela,18,15,4,0,15,NA,NA,3875,NA,NA,4784,NA,NA,3656,0.468274409,0.468274409,4271,NA,NA,6736,0.08907099,0.08907099,11227,NA,NA,13545,0.078400627,0.235201882,12755,NA,NA,15692,NA,NA,0
SRB,Serbia,4,15,3,0,15,NA,NA,2416,NA,NA,870,NA,NA,2150,NA,NA,3331,NA,NA,4130,0.447627574,0.596836765,6702,NA,NA,5412,0.706838664,1.236967662,5659,NA,NA,6200,1.474382602,2.948765205,5426
BHS,Bahamas,16,14,0,0,14,NA,NA,18457,0.094157526,0.282472577,21241,NA,NA,22506,0.090925623,0.181851246,21996,NA,NA,23719,0.084559445,0.126839168,23652,NA,NA,21922,0.034702943,0.104108828,28816,NA,NA,28374,0.069480632,0.138961265,28785
ARM,Armenia,6,14,7,0,14,NA,NA,609,1.605136437,1.605136437,623,NA,NA,783,NA,NA,1192,NA,NA,2158,1.496259352,1.496259352,4010,NA,NA,3218,0.542740841,0.814111262,3685,NA,NA,3995,1.106500692,2.489626556,3615
CHL,Chile,23,13,17,0,13,NA,NA,5479,0.196039992,0.196039992,5101,NA,NA,4464,0.322009338,0.644018677,6211,NA,NA,9485,0.092755774,0.185511548,10781,NA,NA,12860,NA,NA,15432,NA,NA,14817,NA,NA,13793
TUN,Tunisia,14,13,0,0,13,NA,NA,2295,NA,NA,2214,NA,NA,2346,NA,NA,3113,NA,NA,3372,0.232018561,0.696055684,4310,NA,NA,4140,0.724987917,1.691638473,4138,NA,NA,4270,0.813228517,0.813228517,3689
MYS,Malaysia,13,11,1,0,11,NA,NA,3264,NA,NA,4045,NA,NA,4167,NA,NA,4955,NA,NA,6223,0.117453606,0.234907212,8514,NA,NA,9071,0.185528757,0.278293135,10780,NA,NA,11184,0.525872949,0.946571308,9508
LIE,Liechtenstein,17,0,19,10,10,NA,NA,76641,NA,NA,74625,NA,NA,79036,NA,NA,99849,NA,NA,113983,NA,NA,142974,NA,NA,141165,NA,NA,149296,NA,NA,179308,NA,NA,0
PHL,Philippines,21,10,5,0,10,NA,NA,967,NA,NA,1039,NA,NA,1000,NA,NA,1079,NA,NA,1392,NA,NA,1919,NA,NA,2129,NA,NA,2582,NA,NA,2843,0.33886818,0.677736361,2951
URY,Uruguay,21,10,1,0,10,NA,NA,7711,0.145518044,0.291036088,6872,NA,NA,4089,NA,NA,4117,NA,NA,5878,NA,NA,9062,NA,NA,11938,NA,NA,15092,NA,NA,16738,NA,NA,15221
PAK,Pakistan,17,10,3,0,10,NA,NA,470,NA,NA,534,NA,NA,500,NA,NA,650,NA,NA,874,NA,NA,1039,NA,NA,1040,NA,NA,1261,NA,NA,1317,NA,NA,1444
PRI,Puerto Rico,18,9,7,0,9,NA,NA,14304,NA,NA,16192,NA,NA,18731,NA,NA,20989,NA,NA,22936,NA,NA,24898,NA,NA,26436,0.071569154,0.107353731,27945,NA,NA,28981,0.032478077,0.097434232,30790
ISR,Israel,16,9,7,0,9,NA,NA,19424,0.047521741,0.047521741,21043,NA,NA,18428,0.100542932,0.201085864,19892,NA,NA,21828,0.033861574,0.033861574,29532,NA,NA,30643,NA,NA,32526,NA,NA,37540,0.053790915,0.053790915,37181
ZWE,Zimbabwe,13,8,1,0,8,NA,NA,538,NA,NA,547,NA,NA,507,6.607929515,13.21585903,454,NA,NA,415,12.26993865,27.60736196,326,NA,NA,720,NA,NA,968,NA,NA,1031,NA,NA,1029
UGA,Uganda,15,7,0,0,7,NA,NA,292,NA,NA,258,NA,NA,240,NA,NA,288,NA,NA,336,NA,NA,450,NA,NA,595,1.569858713,4.709576138,637,NA,NA,703,NA,NA,580
DOM,Dominican Republic,14,7,0,0,7,NA,NA,2552,NA,NA,2802,NA,NA,3008,0.413052458,1.239157373,2421,NA,NA,3836,0.399121932,0.997804829,5011,NA,NA,5451,0.3350645,0.83766125,5969,NA,NA,6269,0.148765248,0.148765248,6722
CMR,Cameroon,14,6,1,0,6,NA,NA,731,1.515151515,4.545454545,660,NA,NA,720,0.972762646,2.918287938,1028,NA,NA,1081,0.715819613,2.14745884,1397,NA,NA,1309,0.724112962,0.724112962,1381,NA,NA,1571,NA,NA,1375
SGP,Singapore,16,5,1,0,5,NA,NA,21824,NA,NA,23793,NA,NA,22017,NA,NA,27405,NA,NA,33580,0.0251756,0.0503512,39721,NA,NA,46570,0.036743767,0.036743767,54431,NA,NA,56336,0.018881462,0.056644387,52962
MDA,Moldova,6,5,7,0,5,NA,NA,449,5.649717514,8.474576271,354,NA,NA,459,NA,NA,721,NA,NA,951,0.589622642,0.589622642,1696,NA,NA,1632,0,0,2047,NA,NA,2245,NA,NA,1900
QAT,Qatar,9,5,0,0,5,NA,NA,18632,0.033348896,0.033348896,29986,NA,NA,29991,NA,NA,41818,NA,NA,60257,NA,NA,82967,NA,NA,70306,0.022582284,0.022582284,88565,NA,NA,86853,0.016856584,0.033713168,59324
ISL,Iceland,20,4,18,0,4,NA,NA,30901,0.031433691,0.031433691,31813,NA,NA,31996,NA,NA,46917,NA,NA,56104,0.017993702,0.035987404,55575,NA,NA,41676,NA,NA,44334,NA,NA,52473,NA,NA,59765
LBN,Lebanon,17,4,17,0,4,NA,NA,5539,NA,NA,5335,NA,NA,5437,NA,NA,5424,NA,NA,5372,NA,NA,7109,NA,NA,8858,NA,NA,8923,NA,NA,8537,NA,NA,8257
LUX,Luxembourg,23,2,9,2,4,NA,NA,47584,NA,NA,48736,NA,NA,52931,NA,NA,75716,NA,NA,89740,NA,NA,114294,NA,NA,104965,NA,NA,106749,NA,NA,119225,NA,NA,100739
CRI,Costa Rica,15,4,6,0,4,NA,NA,3615,0.525210084,0.525210084,3808,NA,NA,4062,NA,NA,4426,NA,NA,5245,NA,NA,6911,NA,NA,8199,NA,NA,9985,NA,NA,10647,NA,NA,11825
PER,Peru,18,4,2,0,4,NA,NA,2202,NA,NA,1997,NA,NA,2059,NA,NA,2448,NA,NA,3171,NA,NA,4209,NA,NA,5022,NA,NA,6388,NA,NA,6491,NA,NA,6049
GHA,Ghana,14,4,2,0,4,NA,NA,415,NA,NA,263,NA,NA,309,NA,NA,423,NA,NA,923,NA,NA,1224,NA,NA,1313,NA,NA,1630,NA,NA,1432,NA,NA,1513
VNM,Vietnam,15,4,0,0,4,NA,NA,347,2.577319588,5.154639175,388,NA,NA,428,NA,NA,544,NA,NA,780,0.874890639,1.749781277,1143,NA,NA,1310,NA,NA,1723,NA,NA,2012,0.921234454,2.303086135,2171
KGZ,Kyrgyzstan,6,4,7,0,4,NA,NA,345,3.571428571,3.571428571,280,NA,NA,322,NA,NA,433,NA,NA,543,2.070393375,3.105590062,966,NA,NA,880,NA,NA,1178,NA,NA,1280,NA,NA,1078
TJK,Tajikistan,6,4,4,0,4,NA,NA,219,NA,NA,138,NA,NA,189,NA,NA,309,NA,NA,404,NA,NA,706,NA,NA,738,1.047120419,1.047120419,955,NA,NA,1104,1.256281407,3.768844221,796
NAM,Namibia,7,4,0,0,4,NA,NA,2113,NA,NA,2058,NA,NA,1713,NA,NA,3288,NA,NA,3881,NA,NA,4029,NA,NA,5192,NA,NA,5749,NA,NA,5393,NA,NA,4415
