geoid,name,smr_no,smr_gld,smr_slv,smr_brz,smr_tot,wtr_no,wtr_gld,wtr_slv,wtr_brz,wtr_tot,tot_no,tot_gld,tot_slv,tot_brz,tot_tot,tot_98,alt_98,gdp_1998,tot_00,alt_00,gdp_2000,tot_02,alt_02,gdp_2002,tot_04,alt_04,gdp_2004,tot_06,alt_06,gdp_2006,tot_08,alt_08,gdp_2008,tot_10,alt_10,gdp_2010,tot_12,alt_12,gdp_2012,tot_14,alt_14,gdp_2014,tot_16,alt_16,gdp_2016
DNK,Denmark,27,45,74,75,194,14,0,1,0,1,41,45,75,75,195,1,2,33368,6,13,30744,NA,NA,33229,7,11,46512,NA,NA,52027,7,13,64322,NA,NA,58041,9,17,58508,NA,NA,62549,15,25,53579
BEL,Belgium,26,40,53,55,148,21,1,2,3,6,47,41,55,58,154,1,1,25542,5,7,23207,NA,NA,25052,2,2,35590,NA,NA,38852,2,5,48425,NA,NA,44380,3,4,44741,NA,NA,47379,6,12,41271
ESP,Spain,23,45,64,41,150,20,1,0,3,4,43,46,64,44,154,NA,NA,15340,11,20,14677,NA,NA,17020,18,35,24919,NA,NA,28483,18,38,35579,NA,NA,30737,18,36,28564,NA,NA,29623,17,35,26616
UKR,Ukraine,6,35,30,56,121,7,3,1,4,8,13,38,31,60,129,1,2,835,23,39,636,NA,NA,879,22,43,1367,2,2,2303,26,44,3891,NA,NA,2965,20,36,3855,2,4,3105,11,20,2186
BRA,Brazil,22,30,36,62,128,8,0,0,0,0,30,30,36,62,128,NA,NA,5076,12,18,3739,NA,NA,2820,9,19,3623,NA,NA,5860,14,23,8788,NA,NA,11224,17,28,12291,NA,NA,12027,19,39,8650
NZL,New Zealand,23,46,27,44,117,16,0,1,2,3,39,46,28,46,120,NA,NA,14738,3,5,13641,NA,NA,16874,4,10,25420,NA,NA,26671,9,17,31288,NA,NA,33691,13,27,39970,NA,NA,44503,18,35,39412
GRC,Greece,28,33,43,40,116,19,0,0,0,0,47,33,43,40,116,NA,NA,13472,13,27,12043,NA,NA,14110,16,34,21955,NA,NA,24801,4,6,31997,NA,NA,26918,2,2,22243,NA,NA,21761,6,13,17891
KEN,Kenya,14,31,38,33,102,4,0,0,0,0,18,31,38,33,102,NA,NA,473,7,14,404,NA,NA,396,7,13,459,NA,NA,697,14,30,917,NA,NA,967,12,20,1155,NA,NA,1335,13,31,1455
BLR,Belarus,6,12,27,39,78,7,8,5,5,18,13,20,32,44,96,2,2,1512,17,26,1276,1,1,1479,15,25,2378,1,2,3848,19,32,6377,3,6,6029,10,19,6940,6,16,8319,9,15,4989
TUR,Turkey,22,39,24,28,91,17,0,0,0,0,39,39,24,28,91,NA,NA,4497,5,11,4317,NA,NA,3660,10,19,6041,NA,NA,8035,8,14,10851,NA,NA,10672,3,6,11720,NA,NA,12127,8,13,10863
CZE,Czech Republic,6,15,17,24,56,7,9,11,11,31,13,24,28,35,87,3,6,6459,8,15,6012,3,7,8033,7,11,11686,4,8,15184,6,15,22699,6,10,19808,11,22,19730,8,16,19745,10,14,18484
ZAF,South Africa,19,26,31,29,86,7,0,0,0,0,26,26,31,29,86,NA,NA,3105,5,7,2982,NA,NA,2461,6,11,4745,NA,NA,5506,1,2,5695,NA,NA,7275,6,15,7478,NA,NA,6438,10,20,5275
JAM,Jamaica,17,22,35,20,77,8,0,0,0,0,25,22,35,20,77,NA,NA,3339,9,14,3361,NA,NA,3596,5,10,3720,NA,NA,4313,10,24,4903,NA,NA,4683,12,25,5210,NA,NA,4856,11,26,4879
ARG,Argentina,24,21,25,28,74,19,0,0,0,0,43,21,25,28,74,NA,NA,8249,4,6,7669,NA,NA,2579,6,10,4252,NA,NA,5879,6,10,8953,NA,NA,10276,4,7,12970,NA,NA,12245,4,11,12440
KAZ,Kazakhstan,6,15,20,27,62,7,1,3,4,8,13,16,23,31,70,2,2,1469,7,17,1229,NA,NA,1658,8,14,2874,NA,NA,5292,13,21,8514,1,2,9071,10,17,12387,1,1,12807,18,29,7715
MEX,Mexico,23,13,24,32,69,9,0,0,0,0,32,13,24,32,69,NA,NA,5080,6,10,6721,NA,NA,7106,4,7,7199,NA,NA,8768,3,7,9689,NA,NA,8960,8,13,9821,NA,NA,10453,5,8,8209
IRN,Iran,16,19,22,28,69,11,0,0,0,0,27,19,22,28,69,NA,NA,1726,4,10,1657,NA,NA,1892,6,12,2730,NA,NA,3739,1,3,5574,NA,NA,6532,13,29,7833,NA,NA,5541,8,15,5219
ETH,Ethiopia,13,22,11,20,53,2,0,0,0,0,15,22,11,20,53,NA,NA,125,8,17,124,NA,NA,111,7,14,136,NA,NA,194,7,16,325,NA,NA,341,7,15,469,NA,NA,571,8,12,707
HRV,Croatia,7,11,10,12,33,8,4,6,1,11,15,15,16,13,44,NA,NA,5650,2,4,4920,4,11,6054,4,8,9366,3,7,11363,5,7,15894,3,5,13506,6,13,13236,1,2,13467,10,23,12149
